Course,Title,Instructor
PHIL 3,Critical Thinking and Writing,Nick Baiamonte
PHIL 4,Critical Thinking,Javier Galindo
PHIL 4,Critical Thinking,"LIN, DEENA"
PHIL 4,Critical Thinking,Anthony Hanson
PHIL 8,Ethics,Nick Baiamonte
PHTG 7,Exploring Visual Expression,Hiroyo Kaneko
PHTG 7,Exploring Visual Expression,Tressa Pack
PHTG 21,Contemporary Trends in Photography,Sita Bhattacharji
PHYS 2A,General Introductory Physics,Ronald Francis
PHYS 4A,Physics for Scientists and Engineers: Mechanics,Eduardo Luna
PHYS 4A,Physics for Scientists and Engineers: Mechanics,Megan Ulbricht
PHYS 4A,Physics for Scientists and Engineers: Mechanics,Kasra Khazeni
PHYS 4A,Physics for Scientists and Engineers: Mechanics,"ALIZADEH, RAMIN"
POLI 1,American Government and Politics,Ishmael Tarikh
POLI 1,American Government and Politics,James Nguyen
POLI 1,American Government and Politics,Robert Stockwell
POLI 1,American Government and Politics,Scott Heffner
POLI 1,American Government and Politics,Albert Schendan
POLI 1,American Government and Politics,Laura Chin
POLI 1H,American Government and Politics - HONORS,Robert Stockwell
POLI 2,Comparative Politics,James Nguyen
POLI 3,International Relations,Robert Ovetz
POLI 5,Introduction to Political Thought and Theory,Robert Stockwell
POLI 15,"Grassroots Democracy: Race, Politics and the American Promise",Laura Chin
POLI 17,Grassroots Democracy: Leadership and Power,Cynthia Kaufman
POLI 17H,Grassroots Democracy: Leadership and Power - HONORS,Cynthia Kaufman
PSYC 1,General Psychology,Mark Healy
PSYC 1,General Psychology,Harvey Cohen
PSYC 1,General Psychology,Joshua Avera
PSYC 1,General Psychology,Derrick Felton
PSYC 1,General Psychology,Jeanette Tucker
PSYC 1,General Psychology,Robin Schulte
PSYC 1,General Psychology,James Clifford Jr
PSYC 1,General Psychology,Taiki Kondo
PSYC 1,General Psychology,Susan Thomas
PSYC 1,General Psychology,Sandra Trafalis
PSYC 1,General Psychology,Hy Diep
PSYC 1,General Psychology,Chris Olsen
PSYC 1,General Psychology,Latosha Baldwin
PSYC 2,Research Methods in Psychology,Susan Thomas
PSYC 2,Research Methods in Psychology,Taiki Kondo
